"YEAR","JURISDICTION","FINES","ARRESTS","CHARGES","DETECTION_STD"
"2022","QLD",777226,0,0,"Camera Issued"
"2022","QLD",72173,0,0,"Police Issued"
"2022","SA",157432,0,0,"Camera Issued"
"2022","SA",28764,0,0,"Police Issued"
"2022","TAS",14023,0,0,"Camera Issued"
"2022","TAS",28714,0,0,"Police Issued"
"2022","VIC",1255302,0,0,"Camera Issued"
"2022","VIC",122929,0,0,"Police Issued"
"2022","WA",775750,0,0,"Camera Issued"
"2022","WA",67791,0,0,"Police Issued"
"2024","SA",47,0,0,"Camera Issued"
"2024","SA",150,0,0,"Camera Issued"
"2024","SA",165,0,1,"Police Issued"
"2024","SA",95,0,0,"Camera Issued"
"2024","SA",408,0,0,"Camera Issued"
"2024","SA",374,0,6,"Police Issued"
"2024","SA",123,0,0,"Camera Issued"
"2024","SA",744,0,0,"Camera Issued"
"2024","SA",443,0,0,"Police Issued"
"2024","SA",46,0,0,"Camera Issued"
"2024","SA",310,0,0,"Camera Issued"
"2024","SA",139,0,0,"Police Issued"
"2024","SA",15,0,0,"Camera Issued"
"2024","SA",24,0,0,"Camera Issued"
"2024","SA",1,0,0,"Police Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",138,0,0,"Camera Issued"
"2024","VIC",574,0,0,"Camera Issued"
"2024","VIC",503,0,0,"Camera Issued"
"2024","VIC",1956,0,0,"Camera Issued"
"2024","VIC",882,0,0,"Camera Issued"
"2024","VIC",3176,0,0,"Camera Issued"
"2024","VIC",377,0,0,"Camera Issued"
"2024","VIC",1306,0,0,"Camera Issued"
"2024","VIC",32,0,0,"Camera Issued"
"2024","VIC",119,0,0,"Camera Issued"
"2024","NSW",5,0,1,"Police Issued"
"2024","NSW",1310,0,11,"Police Issued"
"2024","NSW",1959,0,5,"Police Issued"
"2024","NSW",2072,0,5,"Police Issued"
"2024","NSW",508,0,0,"Police Issued"
"2024","SA",0,1,0,"Police Issued"
"2024","SA",31,0,0,"Camera Issued"
"2024","SA",126,0,0,"Camera Issued"
"2024","SA",245,1,2,"Police Issued"
"2024","SA",94,0,0,"Camera Issued"
"2024","SA",422,0,0,"Camera Issued"
"2024","SA",400,0,1,"Police Issued"
"2024","SA",117,0,0,"Camera Issued"
"2024","SA",836,0,0,"Camera Issued"
"2024","SA",514,0,3,"Police Issued"
"2024","SA",32,0,0,"Camera Issued"
"2024","SA",377,0,0,"Camera Issued"
"2024","SA",142,0,0,"Police Issued"
"2024","SA",20,0,0,"Camera Issued"
"2024","SA",47,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",95,0,0,"Camera Issued"
"2024","VIC",571,0,0,"Camera Issued"
"2024","VIC",307,0,0,"Camera Issued"
"2024","VIC",1951,0,0,"Camera Issued"
"2024","VIC",636,0,0,"Camera Issued"
"2024","VIC",3200,0,0,"Camera Issued"
"2024","VIC",242,0,0,"Camera Issued"
"2024","VIC",1473,0,0,"Camera Issued"
"2024","VIC",48,0,0,"Camera Issued"
"2024","VIC",120,0,0,"Camera Issued"
"2024","NSW",3,0,0,"Police Issued"
"2024","NSW",1679,0,11,"Police Issued"
"2024","NSW",2451,0,9,"Police Issued"
"2024","NSW",2385,0,6,"Police Issued"
"2024","NSW",569,0,1,"Police Issued"
"2024","SA",15,0,0,"Camera Issued"
"2024","SA",125,0,0,"Camera Issued"
"2024","SA",262,0,2,"Police Issued"
"2024","SA",61,0,0,"Camera Issued"
"2024","SA",371,0,0,"Camera Issued"
"2024","SA",486,1,4,"Police Issued"
"2024","SA",74,0,0,"Camera Issued"
"2024","SA",651,0,0,"Camera Issued"
"2024","SA",652,3,2,"Police Issued"
"2024","SA",19,0,0,"Camera Issued"
"2024","SA",253,0,0,"Camera Issued"
"2024","SA",215,0,0,"Police Issued"
"2024","SA",7,0,0,"Camera Issued"
"2024","SA",28,0,0,"Camera Issued"
"2024","SA",4,0,0,"Police Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",78,0,0,"Camera Issued"
"2024","VIC",526,0,0,"Camera Issued"
"2024","VIC",259,0,0,"Camera Issued"
"2024","VIC",1588,0,0,"Camera Issued"
"2024","VIC",511,0,0,"Camera Issued"
"2024","VIC",2751,0,0,"Camera Issued"
"2024","VIC",221,0,0,"Camera Issued"
"2024","VIC",1267,0,0,"Camera Issued"
"2024","VIC",29,0,0,"Camera Issued"
"2024","VIC",117,0,0,"Camera Issued"
"2024","NSW",7,0,0,"Police Issued"
"2024","NSW",1347,0,12,"Police Issued"
"2024","NSW",2163,0,4,"Police Issued"
"2024","NSW",2318,0,12,"Police Issued"
"2024","NSW",494,0,0,"Police Issued"
"2024","SA",45,0,0,"Camera Issued"
"2024","SA",129,0,0,"Camera Issued"
"2024","SA",202,1,1,"Police Issued"
"2024","SA",86,0,0,"Camera Issued"
"2024","SA",357,0,0,"Camera Issued"
"2024","SA",349,0,2,"Police Issued"
"2024","SA",87,0,0,"Camera Issued"
"2024","SA",640,0,0,"Camera Issued"
"2024","SA",515,0,4,"Police Issued"
"2024","SA",35,0,0,"Camera Issued"
"2024","SA",240,0,0,"Camera Issued"
"2024","SA",166,0,0,"Police Issued"
"2024","SA",14,0,0,"Camera Issued"
"2024","SA",34,0,0,"Camera Issued"
"2024","SA",4,0,0,"Police Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",123,0,0,"Camera Issued"
"2024","VIC",546,0,0,"Camera Issued"
"2024","VIC",473,0,0,"Camera Issued"
"2024","VIC",1838,0,0,"Camera Issued"
"2024","VIC",764,0,0,"Camera Issued"
"2024","VIC",2928,0,0,"Camera Issued"
"2024","VIC",370,0,0,"Camera Issued"
"2024","VIC",1430,0,0,"Camera Issued"
"2024","VIC",21,0,0,"Camera Issued"
"2024","VIC",76,0,0,"Camera Issued"
"2024","NSW",3,0,2,"Police Issued"
"2024","NSW",1299,0,21,"Police Issued"
"2024","NSW",1937,0,9,"Police Issued"
"2024","NSW",2096,0,8,"Police Issued"
"2024","NSW",527,0,0,"Police Issued"
"2024","SA",29,0,0,"Camera Issued"
"2024","SA",90,0,0,"Camera Issued"
"2024","SA",174,0,3,"Police Issued"
"2024","SA",70,0,0,"Camera Issued"
"2024","SA",288,0,0,"Camera Issued"
"2024","SA",330,0,1,"Police Issued"
"2024","SA",84,0,0,"Camera Issued"
"2024","SA",570,0,0,"Camera Issued"
"2024","SA",459,1,2,"Police Issued"
"2024","SA",17,0,0,"Camera Issued"
"2024","SA",300,0,0,"Camera Issued"
"2024","SA",144,0,1,"Police Issued"
"2024","SA",20,0,0,"Camera Issued"
"2024","SA",23,0,0,"Camera Issued"
"2024","SA",3,0,0,"Police Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",82,0,0,"Camera Issued"
"2024","VIC",677,0,0,"Camera Issued"
"2024","VIC",299,0,0,"Camera Issued"
"2024","VIC",2046,0,0,"Camera Issued"
"2024","VIC",572,0,0,"Camera Issued"
"2024","VIC",3331,0,0,"Camera Issued"
"2024","VIC",292,0,0,"Camera Issued"
"2024","VIC",1547,0,0,"Camera Issued"
"2024","VIC",30,0,0,"Camera Issued"
"2024","VIC",140,0,0,"Camera Issued"
"2024","NSW",5,0,6,"Police Issued"
"2024","NSW",1564,0,14,"Police Issued"
"2024","NSW",2374,0,14,"Police Issued"
"2024","NSW",2544,0,19,"Police Issued"
"2024","NSW",636,0,0,"Police Issued"
"2024","SA",41,0,0,"Camera Issued"
"2024","SA",68,0,0,"Camera Issued"
"2024","SA",183,0,2,"Police Issued"
"2024","SA",108,0,0,"Camera Issued"
"2024","SA",193,0,0,"Camera Issued"
"2024","SA",312,0,1,"Police Issued"
"2024","SA",122,0,0,"Camera Issued"
"2024","SA",354,0,0,"Camera Issued"
"2024","SA",399,0,3,"Police Issued"
"2024","SA",52,0,0,"Camera Issued"
"2024","SA",142,0,0,"Camera Issued"
"2024","SA",144,0,0,"Police Issued"
"2024","SA",21,0,0,"Camera Issued"
"2024","SA",28,0,0,"Camera Issued"
"2024","SA",2,0,0,"Police Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",62,0,0,"Camera Issued"
"2024","VIC",495,0,0,"Camera Issued"
"2024","VIC",250,0,0,"Camera Issued"
"2024","VIC",1544,0,0,"Camera Issued"
"2024","VIC",513,0,0,"Camera Issued"
"2024","VIC",2519,0,0,"Camera Issued"
"2024","VIC",211,0,0,"Camera Issued"
"2024","VIC",1154,0,0,"Camera Issued"
"2024","VIC",21,0,0,"Camera Issued"
"2024","VIC",96,0,0,"Camera Issued"
"2024","NSW",8,0,2,"Police Issued"
"2024","NSW",1266,0,19,"Police Issued"
"2024","NSW",1895,0,10,"Police Issued"
"2024","NSW",2225,0,7,"Police Issued"
"2024","NSW",440,0,0,"Police Issued"
"2024","SA",1,0,0,"Police Issued"
"2024","SA",47,0,0,"Camera Issued"
"2024","SA",91,0,0,"Camera Issued"
"2024","SA",160,0,1,"Police Issued"
"2024","SA",86,0,0,"Camera Issued"
"2024","SA",278,0,0,"Camera Issued"
"2024","SA",306,0,4,"Police Issued"
"2024","SA",106,0,0,"Camera Issued"
"2024","SA",486,0,0,"Camera Issued"
"2024","SA",405,0,1,"Police Issued"
"2024","SA",28,0,0,"Camera Issued"
"2024","SA",275,0,0,"Camera Issued"
"2024","SA",121,0,0,"Police Issued"
"2024","SA",7,0,0,"Camera Issued"
"2024","SA",30,0,0,"Camera Issued"
"2024","SA",2,0,0,"Police Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",87,0,0,"Camera Issued"
"2024","VIC",671,0,0,"Camera Issued"
"2024","VIC",317,0,0,"Camera Issued"
"2024","VIC",2246,0,0,"Camera Issued"
"2024","VIC",606,0,0,"Camera Issued"
"2024","VIC",3665,0,0,"Camera Issued"
"2024","VIC",279,0,0,"Camera Issued"
"2024","VIC",1525,0,0,"Camera Issued"
"2024","VIC",15,0,0,"Camera Issued"
"2024","VIC",128,0,0,"Camera Issued"
"2024","NSW",7,0,0,"Police Issued"
"2024","NSW",1612,0,15,"Police Issued"
"2024","NSW",2322,0,15,"Police Issued"
"2024","NSW",2465,0,4,"Police Issued"
"2024","NSW",602,0,0,"Police Issued"
"2024","SA",19,0,0,"Camera Issued"
"2024","SA",85,0,0,"Camera Issued"
"2024","SA",193,0,2,"Police Issued"
"2024","SA",65,0,0,"Camera Issued"
"2024","SA",239,0,0,"Camera Issued"
"2024","SA",370,0,3,"Police Issued"
"2024","SA",87,0,0,"Camera Issued"
"2024","SA",507,0,0,"Camera Issued"
"2024","SA",481,0,1,"Police Issued"
"2024","SA",33,0,0,"Camera Issued"
"2024","SA",234,0,0,"Camera Issued"
"2024","SA",135,0,0,"Police Issued"
"2024","SA",17,0,0,"Camera Issued"
"2024","SA",24,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",83,0,0,"Camera Issued"
"2024","VIC",579,0,0,"Camera Issued"
"2024","VIC",279,0,0,"Camera Issued"
"2024","VIC",1616,0,0,"Camera Issued"
"2024","VIC",609,0,0,"Camera Issued"
"2024","VIC",2722,0,0,"Camera Issued"
"2024","VIC",265,0,0,"Camera Issued"
"2024","VIC",1358,0,0,"Camera Issued"
"2024","VIC",28,0,0,"Camera Issued"
"2024","VIC",87,0,0,"Camera Issued"
"2024","NSW",6,0,2,"Police Issued"
"2024","NSW",1546,0,6,"Police Issued"
"2024","NSW",2261,0,13,"Police Issued"
"2024","NSW",2498,0,4,"Police Issued"
"2024","NSW",592,0,0,"Police Issued"
"2024","SA",36,0,0,"Camera Issued"
"2024","SA",88,0,0,"Camera Issued"
"2024","SA",183,0,1,"Police Issued"
"2024","SA",100,0,0,"Camera Issued"
"2024","SA",306,0,0,"Camera Issued"
"2024","SA",333,0,3,"Police Issued"
"2024","SA",113,0,0,"Camera Issued"
"2024","SA",617,0,0,"Camera Issued"
"2024","SA",442,2,3,"Police Issued"
"2024","SA",28,0,0,"Camera Issued"
"2024","SA",423,0,0,"Camera Issued"
"2024","SA",149,0,0,"Police Issued"
"2024","SA",11,0,0,"Camera Issued"
"2024","SA",30,0,0,"Camera Issued"
"2024","SA",4,0,0,"Police Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",2,0,0,"Camera Issued"
"2024","VIC",47,0,0,"Camera Issued"
"2024","VIC",361,0,0,"Camera Issued"
"2024","VIC",185,0,0,"Camera Issued"
"2024","VIC",1190,0,0,"Camera Issued"
"2024","VIC",382,0,0,"Camera Issued"
"2024","VIC",1741,0,0,"Camera Issued"
"2024","VIC",177,0,0,"Camera Issued"
"2024","VIC",898,0,0,"Camera Issued"
"2024","VIC",16,0,0,"Camera Issued"
"2024","VIC",72,0,0,"Camera Issued"
"2024","NSW",8,0,0,"Police Issued"
"2024","NSW",1762,0,7,"Police Issued"
"2024","NSW",2586,0,6,"Police Issued"
"2024","NSW",2793,0,4,"Police Issued"
"2024","NSW",688,0,0,"Police Issued"
"2024","SA",1,0,0,"Police Issued"
"2024","SA",40,0,0,"Camera Issued"
"2024","SA",138,0,0,"Camera Issued"
"2024","SA",204,1,2,"Police Issued"
"2024","SA",93,0,0,"Camera Issued"
"2024","SA",451,0,0,"Camera Issued"
"2024","SA",363,0,3,"Police Issued"
"2024","SA",102,0,0,"Camera Issued"
"2024","SA",929,0,0,"Camera Issued"
"2024","SA",518,0,0,"Police Issued"
"2024","SA",41,0,0,"Camera Issued"
"2024","SA",458,0,0,"Camera Issued"
"2024","SA",161,0,0,"Police Issued"
"2024","SA",13,0,0,"Camera Issued"
"2024","SA",49,0,0,"Camera Issued"
"2024","SA",7,0,0,"Police Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",7,0,0,"Camera Issued"
"2024","VIC",17,0,0,"Camera Issued"
"2024","VIC",4,0,0,"Camera Issued"
"2024","VIC",23,0,0,"Camera Issued"
"2024","VIC",11,0,0,"Camera Issued"
"2024","VIC",21,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",8,0,0,"Camera Issued"
"2024","VIC",1,0,0,"Camera Issued"
"2024","VIC",3,0,0,"Camera Issued"
"2024","NSW",3,0,0,"Police Issued"
"2024","NSW",1405,0,9,"Police Issued"
"2024","NSW",1992,0,15,"Police Issued"
"2024","NSW",2136,0,2,"Police Issued"
"2024","NSW",520,0,1,"Police Issued"
"2024","SA",1,0,0,"Police Issued"
"2024","SA",44,0,0,"Camera Issued"
"2024","SA",158,0,0,"Camera Issued"
"2024","SA",217,0,0,"Police Issued"
"2024","SA",111,0,0,"Camera Issued"
"2024","SA",414,0,0,"Camera Issued"
"2024","SA",374,1,1,"Police Issued"
"2024","SA",101,0,0,"Camera Issued"
"2024","SA",825,0,0,"Camera Issued"
"2024","SA",496,0,2,"Police Issued"
"2024","SA",35,0,0,"Camera Issued"
"2024","SA",374,0,0,"Camera Issued"
"2024","SA",179,0,0,"Police Issued"
"2024","SA",11,0,0,"Camera Issued"
"2024","SA",51,0,0,"Camera Issued"
"2024","SA",5,0,0,"Police Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",8,0,0,"Camera Issued"
"2024","VIC",10,0,0,"Camera Issued"
"2024","VIC",4,0,0,"Camera Issued"
"2024","VIC",21,0,0,"Camera Issued"
"2024","VIC",9,0,0,"Camera Issued"
"2024","VIC",21,0,0,"Camera Issued"
"2024","VIC",5,0,0,"Camera Issued"
"2024","VIC",8,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",1,0,0,"Camera Issued"
"2024","NSW",9,0,1,"Police Issued"
"2024","NSW",1815,0,18,"Police Issued"
"2024","NSW",3010,0,14,"Police Issued"
"2024","NSW",2986,0,5,"Police Issued"
"2024","NSW",725,0,1,"Police Issued"
"2024","SA",2,0,0,"Police Issued"
"2024","SA",50,0,0,"Camera Issued"
"2024","SA",114,0,0,"Camera Issued"
"2024","SA",253,0,1,"Police Issued"
"2024","SA",113,0,0,"Camera Issued"
"2024","SA",350,0,0,"Camera Issued"
"2024","SA",532,2,4,"Police Issued"
"2024","SA",132,0,0,"Camera Issued"
"2024","SA",620,0,0,"Camera Issued"
"2024","SA",694,0,3,"Police Issued"
"2024","SA",33,0,0,"Camera Issued"
"2024","SA",313,0,0,"Camera Issued"
"2024","SA",191,0,1,"Police Issued"
"2024","SA",17,0,0,"Camera Issued"
"2024","SA",43,0,0,"Camera Issued"
"2024","SA",3,0,0,"Police Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",0,0,0,"Camera Issued"
"2024","VIC",9,0,0,"Camera Issued"
"2024","VIC",24,0,0,"Camera Issued"
"2024","VIC",15,0,0,"Camera Issued"
"2024","VIC",21,0,0,"Camera Issued"
"2024","VIC",4,0,0,"Camera Issued"
"2024","VIC",45,0,0,"Camera Issued"
"2024","VIC",5,0,0,"Camera Issued"
"2024","VIC",8,0,0,"Camera Issued"
"2024","VIC",1,0,0,"Camera Issued"
"2024","VIC",1,0,0,"Camera Issued"
"2023","NSW",5,0,2,"Police Issued"
"2023","NSW",1508,0,16,"Police Issued"
"2023","NSW",2428,0,10,"Police Issued"
"2023","NSW",2435,0,7,"Police Issued"
"2023","NSW",485,0,1,"Police Issued"
"2023","VIC",180,0,0,"Camera Issued"
"2023","VIC",2125,0,0,"Camera Issued"
"2023","VIC",820,0,0,"Police Issued"
"2023","VIC",708,0,0,"Camera Issued"
"2023","VIC",10144,0,0,"Camera Issued"
"2023","VIC",1524,0,0,"Police Issued"
"2023","VIC",1015,0,0,"Camera Issued"
"2023","VIC",16192,0,0,"Camera Issued"
"2023","VIC",1943,0,0,"Police Issued"
"2023","VIC",303,0,0,"Camera Issued"
"2023","VIC",5052,0,0,"Camera Issued"
"2023","VIC",437,0,0,"Police Issued"
"2023","VIC",725,0,0,"Camera Issued"
"2023","VIC",7544,0,0,"Camera Issued"
"2023","NSW",2,0,1,"Police Issued"
"2023","NSW",1213,0,5,"Police Issued"
"2023","NSW",1894,0,10,"Police Issued"
"2023","NSW",2047,0,6,"Police Issued"
"2023","NSW",522,0,0,"Police Issued"
"2023","VIC",152,0,0,"Camera Issued"
"2023","VIC",471,0,0,"Camera Issued"
"2023","VIC",669,0,0,"Police Issued"
"2023","VIC",649,0,0,"Camera Issued"
"2023","VIC",1853,0,0,"Camera Issued"
"2023","VIC",1215,0,0,"Police Issued"
"2023","VIC",954,0,0,"Camera Issued"
"2023","VIC",3158,0,0,"Camera Issued"
"2023","VIC",1587,0,0,"Police Issued"
"2023","VIC",295,0,0,"Camera Issued"
"2023","VIC",1492,0,0,"Camera Issued"
"2023","VIC",405,0,0,"Police Issued"
"2023","VIC",820,0,0,"Camera Issued"
"2023","VIC",1665,0,0,"Camera Issued"
"2023","VIC",3,0,0,"Police Issued"
"2023","NSW",4,0,0,"Police Issued"
"2023","NSW",1341,0,4,"Police Issued"
"2023","NSW",2088,0,9,"Police Issued"
"2023","NSW",2203,0,2,"Police Issued"
"2023","NSW",557,0,0,"Police Issued"
"2023","VIC",157,0,0,"Camera Issued"
"2023","VIC",582,0,0,"Camera Issued"
"2023","VIC",731,0,0,"Police Issued"
"2023","VIC",741,0,0,"Camera Issued"
"2023","VIC",2056,0,0,"Camera Issued"
"2023","VIC",1408,0,0,"Police Issued"
"2023","VIC",1171,0,0,"Camera Issued"
"2023","VIC",3505,0,0,"Camera Issued"
"2023","VIC",1764,0,0,"Police Issued"
"2023","VIC",546,0,0,"Camera Issued"
"2023","VIC",1632,0,0,"Camera Issued"
"2023","VIC",474,0,0,"Police Issued"
"2023","VIC",899,0,0,"Camera Issued"
"2023","VIC",1923,0,0,"Camera Issued"
"2023","VIC",1,0,0,"Police Issued"
"2023","NSW",13,0,0,"Police Issued"
"2023","NSW",1505,0,8,"Police Issued"
"2023","NSW",2329,0,16,"Police Issued"
"2023","NSW",2330,0,7,"Police Issued"
"2023","NSW",498,0,0,"Police Issued"
"2023","VIC",1,0,0,"Police Issued"
"2023","VIC",188,0,0,"Camera Issued"
"2023","VIC",575,0,0,"Camera Issued"
"2023","VIC",770,0,0,"Police Issued"
"2023","VIC",753,0,0,"Camera Issued"
"2023","VIC",2153,0,0,"Camera Issued"
"2023","VIC",1379,0,0,"Police Issued"
"2023","VIC",1321,0,0,"Camera Issued"
"2023","VIC",3463,0,0,"Camera Issued"
"2023","VIC",1688,0,0,"Police Issued"
"2023","VIC",534,0,0,"Camera Issued"
"2023","VIC",1489,0,0,"Camera Issued"
"2023","VIC",416,0,0,"Police Issued"
"2023","VIC",970,0,0,"Camera Issued"
"2023","VIC",1724,0,0,"Camera Issued"
"2023","VIC",4,0,0,"Police Issued"
"2023","NSW",5,0,1,"Police Issued"
"2023","NSW",1242,0,8,"Police Issued"
"2023","NSW",1892,0,11,"Police Issued"
"2023","NSW",2093,0,3,"Police Issued"
"2023","NSW",518,0,0,"Police Issued"
"2023","VIC",85,0,0,"Camera Issued"
