"YEAR","JURISDICTION","LOCATION","FINES","ARRESTS","CHARGES"
"2024","SA","Inner Regional Australia",24,0,0
"2024","SA","Inner Regional Australia",1,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",138,0,0
"2024","VIC","Inner Regional Australia",574,0,0
"2024","VIC","Inner Regional Australia",503,0,0
"2024","VIC","Inner Regional Australia",1956,0,0
"2024","VIC","Inner Regional Australia",882,0,0
"2024","VIC","Inner Regional Australia",3176,0,0
"2024","VIC","Inner Regional Australia",377,0,0
"2024","VIC","Inner Regional Australia",1306,0,0
"2024","VIC","Inner Regional Australia",32,0,0
"2024","VIC","Inner Regional Australia",119,0,0
"2024","NSW","Inner Regional Australia",5,0,1
"2024","NSW","Inner Regional Australia",1310,0,11
"2024","NSW","Inner Regional Australia",1959,0,5
"2024","NSW","Inner Regional Australia",2072,0,5
"2024","NSW","Inner Regional Australia",508,0,0
"2024","SA","Inner Regional Australia",0,1,0
"2024","SA","Inner Regional Australia",31,0,0
"2024","SA","Inner Regional Australia",126,0,0
"2024","SA","Inner Regional Australia",245,1,2
"2024","SA","Inner Regional Australia",94,0,0
"2024","SA","Inner Regional Australia",422,0,0
"2024","SA","Inner Regional Australia",400,0,1
"2024","SA","Inner Regional Australia",117,0,0
"2024","SA","Inner Regional Australia",836,0,0
"2024","SA","Inner Regional Australia",514,0,3
"2024","SA","Inner Regional Australia",32,0,0
"2024","SA","Inner Regional Australia",377,0,0
"2024","SA","Inner Regional Australia",142,0,0
"2024","SA","Inner Regional Australia",20,0,0
"2024","SA","Inner Regional Australia",47,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",0,0,0
"2024","VIC","Inner Regional Australia",95,0,0
"2024","VIC","Inner Regional Australia",571,0,0
"2024","VIC","Inner Regional Australia",307,0,0
"2024","VIC","Inner Regional Australia",1951,0,0
"2024","VIC","Inner Regional Australia",636,0,0
"2024","VIC","Inner Regional Australia",3200,0,0
"2024","VIC","Inner Regional Australia",242,0,0
"2024","VIC","Inner Regional Australia",1473,0,0
"2024","VIC","Inner Regional Australia",48,0,0
"2024","VIC","Inner Regional Australia",120,0,0
"2024","NSW","Inner Regional Australia",3,0,0
"2024","NSW","Inner Regional Australia",1679,0,11
