"JURISDICTION","LOCATION","AGE_GROUP","FINES","ARRESTS","CHARGES","FINES_log"
"SA","Outer Regional Australia","40-64",282,0,0,2.45178643552429
"SA","Outer Regional Australia","40-64",458,1,2,2.661812685537261
"SA","Outer Regional Australia","65 and over",15,0,0,1.2041199826559246
"SA","Outer Regional Australia","65 and over",128,0,0,2.110589710299249
"SA","Outer Regional Australia","65 and over",110,0,1,2.045322978786657
"SA","Outer Regional Australia","Unknown",8,0,0,0.9542425094393249
"SA","Outer Regional Australia","Unknown",8,0,0,0.9542425094393249
"SA","Remote Australia","17-25",7,0,0,0.9030899869919434
"SA","Remote Australia","17-25",40,0,1,1.6127838567197355
"SA","Remote Australia","26-39",12,0,0,1.1139433523068367
"SA","Remote Australia","26-39",70,0,0,1.851258348719075
"SA","Remote Australia","40-64",31,0,0,1.5051499783199058
"SA","Remote Australia","40-64",74,0,1,1.8750612633916997
"SA","Remote Australia","65 and over",5,0,0,0.7781512503836435
"SA","Remote Australia","65 and over",13,0,0,1.1461280356782377
"SA","Remote Australia","Unknown",3,0,0,0.6020599913279623
"SA","Unknown","17-25",16,0,0,1.2304489213782739
"SA","Unknown","26-39",29,0,0,1.4771212547196624
"SA","Unknown","40-64",45,1,0,1.6627578316815739
"SA","Unknown","65 and over",10,0,0,1.041392685158225
"SA","Very Remote Australia","17-25",19,0,0,1.301029995663981
"SA","Very Remote Australia","26-39",37,0,0,1.57978359661681
"SA","Very Remote Australia","40-64",50,0,0,1.7075701760979363
"SA","Very Remote Australia","65 and over",8,0,0,0.9542425094393249
"TAS","Unknown","17-25",657,0,0,2.8182258936139553
"TAS","Unknown","17-25",348,0,12,2.5428254269591797
"TAS","Unknown","26-39",1655,0,0,3.219060332448861
"TAS","Unknown","26-39",543,0,12,2.7355988996981795
"TAS","Unknown","40-64",2471,0,0,3.393048466416778
"TAS","Unknown","40-64",649,0,10,2.8129133566428552
"TAS","Unknown","65 and over",933,0,0,2.970346876230093
"TAS","Unknown","65 and over",179,0,0,2.255272505103306
"VIC","Inner Regional Australia","0-16",0,0,0,0
"VIC","Inner Regional Australia","0-16",0,0,0,0
"VIC","Inner Regional Australia","17-25",138,0,0,2.143014800254095
"VIC","Inner Regional Australia","17-25",574,0,0,2.75966784468963
"VIC","Inner Regional Australia","26-39",503,0,0,2.702430536445525
"VIC","Inner Regional Australia","26-39",1956,0,0,3.291590825658001
